image_link,group_id,entity_name,entity_value,extracted_text
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,PROPOS
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,TEARRIFIC
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,COMPOSITION
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,COMPOSITION
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,Horbäach®
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,• Naturally-Sourced Psyllium
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,Horbäach®
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,Horbäach®
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,GMP
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,NEW LOOK.
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram,"Große Kapazität, Tragfähigkeit bis zu 30KG"
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram,WILDFANG®
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce,Helps in
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce,USDA
https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,281678,item_weight,53 ounce,PACKAGING CHANGED
https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,281678,item_weight,100 gram,Other
https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,731432,item_weight,200 gram,FREE
https://m.media-amazon.com/images/I/81e2YtCOKvL.jpg,731432,item_weight,1 kilogram,FREE®
https://m.media-amazon.com/images/I/81RNsNEM1EL.jpg,731432,item_weight,200 gram,FREE
